                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.0282,                 11.966,                 4.1519,                      0,                      0,                      0,                      0,                 5.2173,                 4.7211,                 4.0229,               0.070789,              0.0032456,              0.0032456
                      1,                 5.3756,                 5.9105,                 3.8027,                      0,                      0,                      0,                      0,                 5.0817,                 4.8684,                 3.7081,               0.040708,              0.0064975,              0.0064975
                      2,                 4.3572,                  4.943,                 3.1141,                0.00125,                0.02667,                0.00071,                0.00018,                 4.1482,                  4.351,                 3.1781,               0.010544,               0.009667,               0.009667
                      3,                 3.4519,                 4.3613,                 2.6099,                0.00281,                0.23333,                0.02339,                 0.0082,                  2.957,                 43.051,                 2.6019,              0.0096288,              0.0096288,              0.0096288
                      4,                 3.0815,                 3.8174,                 2.2543,                0.07436,                0.05333,                0.04036,                0.00993,                 2.8282,                 5.5427,                 2.2629,              0.0096288,              0.0096288,              0.0096288
                      5,                 2.7384,                 3.2201,                 1.9037,                0.13616,                0.27667,                0.13233,                0.02377,                 2.9661,                 10.441,                 2.2731,               0.009505,               0.009505,               0.009505
                      6,                 2.6039,                  2.839,                 1.8775,                0.24585,                0.30333,                0.25452,                0.08594,                 2.2886,                 4.3774,                 1.8591,              0.0093813,              0.0093813,              0.0093813
                      7,                 2.4789,                 2.3362,                  1.632,                0.90597,                0.27149,                0.28336,                0.11371,                 2.0311,                 3.7676,                 1.6607,              0.0092575,              0.0092575,              0.0092575
                      8,                 2.2951,                 2.0709,                 1.5611,                0.90536,                0.26903,                 0.2876,                0.13564,                 2.0314,                 1.6066,                 1.5794,              0.0091337,              0.0091337,              0.0091337
                      9,                 2.1985,                 1.8093,                 1.4816,                0.92763,                0.31333,                0.34889,                0.13551,                 2.0149,                 2.0212,                 1.5504,                0.00901,                0.00901,                0.00901
                     10,                  2.173,                 1.7622,                 1.4754,                0.96829,                   0.32,                0.40883,                0.17855,                  1.962,                 1.9727,                 1.4672,              0.0088863,              0.0088863,              0.0088863
                     11,                  2.077,                 1.6677,                 1.4212,                0.88515,                0.36667,                0.44952,                0.20234,                 1.9513,                 1.8895,                  1.474,              0.0087625,              0.0087625,              0.0087625
